iteracija,a,b,c,d,error
252,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
253,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
254,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
255,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
256,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
257,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
258,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
259,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
260,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
261,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
262,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
263,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
264,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
265,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
266,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
267,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
268,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
269,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
270,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
271,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
272,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
273,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
274,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
275,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
276,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
277,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
278,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
279,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
280,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
